SHOLEYE  FOLAHAN I,35 K,5519 N. CUMBERLAND AVE.,Montgomery,AL,60656,19840214,1205294331,Sholeye-Folahan-I@yahoo.Com
PETEAN  GELU,15 T,6550 N. CLARK ST.,Bismarck,ND,60626,20020411,149019698,Petean-Gelu@yahoo.Com
BUYINZA  HANNINGTON,57 K,2045 N. WESTERN AVE.,Jacksonville,FL,60647,19910319,176483634,Buyinza-Hannington@yahoo.Com
HABIB  ASIF M,53 N,9696 W. FOSTER AVE.,Montgomery,AL,60656,19670727,1838328785,Habib-Asif-M@yahoo.Com
ERGESHOV  KURAL,,3351 W. ADDISON ST.,Raleigh,NC,60618,19980202,173718608,Ergeshov-Kural@yahoo.Com
NATOUR  MAITHAM R,84 A,3351 W. ADDISON ST.,Charleston,WV,60618,19580411,1314420409,Natour-Maitham-R@gmail.Com
SINGH  BALDEV,,2617 S. WABASH AVE.,CHICAGO,IL,60616,19960201,1463411654,Singh-Baldev@gmail.Com
KHAN  SHAJI,81 Q,4740 N. CUMBERLAND AVE.,Des Moines,IA,60656,19830604,1292618219,Khan-Shaji@gmail.Com
CARVAJAL  NELSON H,70 M,2617 S. WABASH AVE.,Montgomery,AL,60616,19790416,166881197,Carvajal-Nelson-H@gmail.Com
AYUB  TARIQ,27 F,395 W. LAKE ST.,Bismarck,ND,60126,19971129,189288418,Ayub-Tariq@gmail.Com
NESTEROV  PAVEL V,31 G,8400 W. 183RD PL.,Jacksonville,FL,60487,20040615,1233141345,Nesterov-Pavel-V@gmail.Com
LAHNIECHE  SOFIANE M,97 F,3351 W. ADDISON ST.,Montgomery,AL,60618,19561121,1391498275,Lahnieche-Sofiane-M@gmail.Com
ALLI  ADETUNJI YUSUF,96 L,9717 S. JEFFERY AVE.,Raleigh,NC,60617,19560808,1147807597,Alli-Adetunji-Yusuf@gmail.Com
KHAN  MOHAMMED A,13 B,4626 W. CORNELIA AVE.,Des Moines,IA,60641,19880406,1205769358,Khan-Mohammed-A@gmail.Com
MEMON  MOHAMMED IMRAN,79 Q,2617 S. WABASH AVE.,Des Moines,IA,60616,19861107,1668574839,Memon-Mohammed-Imran@gmail.Com
SHAFAD  SIRAJ AHMED,54 D,3351 W. ADDISON ST.,Montgomery,AL,60618,19650106,1367543561,Shafad-Siraj-Ahmed@gmail.Com
ALASIRI  ABDUALRHMAN ALI,,2617 S. WABASH AVE.,Bismarck,ND,60616,19601119,1760834112,Alasiri-Abdualrhman-Ali@gmail.Com
ULA  FAYISO H,60 P,9696 W. FOSTER AVE.,Jacksonville,FL,60656,19611015,1678410411,Ula-Fayiso-H@gmail.Com
BAILEY  SHAQUILLE D,,2601 W. PETERSON AVE.,Montgomery,AL,60659,19900523,1763300833,Bailey-Shaquille-D@gmail.Com
ASIE  MHAMED,41 J,4536 N. ELSTON AVE.,Raleigh,NC,60630,20001027,1957224514,Asie-Mhamed@yahoo.Com
ALMALLAHI  MAHMOUD NM,57 G,621 S. KOLMAR AVE.,CHICAGO,IL,60624,19940121,1610411764,Almallahi-Mahmoud-Nm@yahoo.Com
SERRATO  JORGE L,73 K,8645 S. CREGIER AVE.,CHICAGO,IL,60617,19780625,1376305708,Serrato-Jorge-L@yahoo.Com
PREDESCU  ION C,39 R,4104 S. CAMPBELL AVE.,Des Moines,IA,60632,19870922,1808532897,Predescu-Ion-C@yahoo.Com
AKI  CLEMENT,45 T,8645 S. CREGIER AVE.,CHICAGO,IL,60617,19731101,1668161748,Aki-Clement@gmail.Com
AKINYEMI  AKINOYE VICTOR,30 M,395 W. LAKE ST.,CHICAGO,IL,60126,19690608,1381813681,Akinyemi-Akinoye-Victor@gmail.Com
RABADY  ABDOUH ELIAS,36 D,395 W. LAKE ST.,CHICAGO,IL,60126,19910814,1850767331,Rabady-Abdouh-Elias@gmail.Com
ELSADIG  MAMOUN,44 Q,2601 W. PETERSON AVE.,CHICAGO,IL,60659,19960609,157162603,Elsadig-Mamoun@gmail.Com
ELSHEIKH  ADIL B,27 D,9740 W. FOSTER,CHICAGO,IL,60018,19710912,1521359603,Elsheikh-Adil-B@gmail.Com
AWUAH  STEPHEN,100 K,395 W. LAKE ST.,CHICAGO,IL,60126,19740413,1701355596,Awuah-Stephen@gmail.Com
BHANDARI  JEEVAN,45 N,4320 N. MENARD AVE.,Montgomery,AL,60634,19640314,1259228975,Bhandari-Jeevan@yahoo.Com
SIUM  ARON,2 O,4626 W. CORNELIA AVE.,Bismarck,ND,60641,19580406,114310445,Sium-Aron@yahoo.Com
HASSAN  TAIF O,62 R,3700 S. ASHLAND AVE.,Raleigh,NC,60609,19850708,1305926988,Hassan-Taif-O@yahoo.Com
JOHNSON  XCAVIER MARTIN,15 H,5550 N. ELSTON AVE.,CHICAGO,IL,60630,19831018,140222096,Johnson-Xcavier-Martin@yahoo.Com
JAMSHED  IQBAL,87 Q,2617 S. WABASH AVE.,Jacksonville,FL,60616,20010403,1355601113,Jamshed-Iqbal@yahoo.Com
YAMA  SOLOMAN T,,4626 W. CORNELIA AVE.,Salem,OR,60641,20000320,1131476221,Yama-Soloman-T@yahoo.Com
KADHRI  MOHAMED H,,1 S. DEARBORN ST.,CHICAGO,IL,60603,19830525,158272862,Kadhri-Mohamed-H@gmail.Com
LEWIS  ANDRE,50 L,10241 S. GREEN ST.,CHICAGO,IL,60643,19821119,1747178907,Lewis-Andre@gmail.Com
ALI  DAHIR A,35 S,6550 N. CLARK ST.,CHICAGO,IL,60626,19960716,179828303,Ali-Dahir-A@gmail.Com
KANDALDZHIEV  DIMITAR A,70 A,6321 N. AVONDALE AVE.,Montgomery,AL,60631,19810428,1610560556,Kandaldzhiev-Dimitar-A@yahoo.Com
FELEKE  BERHANU Z,96 F,6206 W. LAWRENCE AVE.,Bismarck,ND,60630,20030818,144553383,Feleke-Berhanu-Z@yahoo.Com
YASIN  MUHAMMAD,43 R,2601 W. PETERSON AVE.,Raleigh,NC,60659,19890513,1539150158,Yasin-Muhammad@yahoo.Com
LUKE  GBENGA SEGUN,45 H,395 W. LAKE ST.,CHICAGO,IL,60126,19670922,1427647320,Luke-Gbenga-Segun@yahoo.Com
LOPEZ-NEGRETE  NELSON H,25 G,5567 N. ELSTON AVE.,Jacksonville,FL,60630,19780815,1977932659,Lopez-Negrete-Nelson-H@yahoo.Com
MEDIC  MILOS,65 B,3933 N. CLARENDON AVE.,Salem,OR,60613,19780709,1669319209,Medic-Milos@yahoo.Com
ANIFOWOSE  ADEWALE D,68 O,2627 N. MILDRED AVE.,CHICAGO,IL,60614,19831026,1132572874,Anifowose-Adewale-D@gmail.Com
OLUWOLE  SEAN O,36 L,2350 W. OGDEN AVE.,Des Moines,IA,60608,19970404,110065711,Oluwole-Sean-O@gmail.Com
DOLFUS  TONI,26 A,8408 S. ADA ST.,Montgomery,AL,60620,20001126,171310276,Dolfus-Toni@gmail.Com
CASTANEDA  BRIT L,63 I,9696 W. FOSTER AVE.,Bismarck,ND,60656,19860424,1591238333,Castaneda-Brit-L@gmail.Com
KAMARA  JAMES AL,3 L,2640 W. 84TH PL.,Jacksonville,FL,60652,19590203,1918673402,Kamara-James-Al@gmail.Com
POTTS  RONALD D,32 C,2617 S. WABASH AVE.,Montgomery,AL,60616,19860719,1190368626,Potts-Ronald-D@gmail.Com
KARAMAN  FADEL A,14 A,2617 S. WABASH AVE.,Raleigh,NC,60616,19761013,1828596314,Karaman-Fadel-A@gmail.Com
DEI  STEVE,6 C,2617 S. WABASH AVE.,Jacksonville,FL,60616,19590720,1932648431,Dei-Steve@gmail.Com
KEFAYATULLAH  (NONE),74 C,2617 S. WABASH AVE.,Salem,OR,60616,19710612,1693896348,Kefayatullah-(None)@gmail.Com
MARETIS  LAMBROS,46 H,2601 W. PETERSON AVE.,Des Moines,IA,60659,20020211,1895274912,Maretis-Lambros@gmail.Com
KUSI  MACCARTHY J,3 B,3351 W. ADDISON,CHICAGO,IL,60618,19760918,1634274599,Kusi-Maccarthy-J@gmail.Com
SAAD  GORGOS,48 P,4536 N. ELSTON AVE.,Montgomery,AL,60630,19630922,1692353814,Saad-Gorgos@gmail.Com
OWUSUANSAH  DANIEL K,79 G,2738 W. FULTON ST.,Bismarck,ND,60612,19801029,144066780,Owusuansah-Daniel-K@gmail.Com
REMEDI  RONALD A,23 K,395  LAKE ST.,Des Moines,IA,60126,19550802,1215874845,Remedi-Ronald-A@gmail.Com
RUFUS  ISRAEL SPIFF,4 J,395 W. LAKE ST.,Montgomery,AL,60126,19970528,1209487761,Rufus-Israel-Spiff@gmail.Com
ALANOV  AMAN,28 C,5550 N. ELSTON AVE.,Bismarck,ND,60630,19760925,1240582863,Alanov-Aman@gmail.Com
SOETAN  CHRISTOPHER,67 P,3700 S. ASHLAND AVE.,Jacksonville,FL,60609,19680822,1706206102,Soetan-Christopher@gmail.Com
MICIN  NENAD,17 N,8645 S. CREGIER AVE.,Montgomery,AL,60617,19660121,1706804233,Micin-Nenad@gmail.Com
RAZA  AHMAD,,2601 W. PETERSON AVE.,Raleigh,NC,60659,19680814,1126339358,Raza-Ahmad@gmail.Com
BENNI  MOHAMMED S,30 T,4020 W. GLENLAKE AVE.,Charleston,WV,60646,19800101,1998408119,Benni-Mohammed-S@gmail.Com
NAJERA  JOSE,42 S,939 W. 33RD PL.,Montgomery,AL,60608,19710414,1526486690,Najera-Jose@gmail.Com
SULDAN  MUHUMED F,58 K,9696 W. FOSTER AVE.,Bismarck,ND,60656,19950909,144309188,Suldan-Muhumed-F@gmail.Com
ISHMURADOV  SULTAN,39 C,4020 W. GLENLAKE AVE.,Raleigh,NC,60646,19890418,1945670604,Ishmuradov-Sultan@gmail.Com
AYED  SULTAN F,5 B,3530 W. PETERSON AVE.,CHICAGO,IL,60659,19910510,1211102158,Ayed-Sultan-F@gmail.Com
HALIM  SHAHZAD,,1 S. DEARBORN ST.,Jacksonville,FL,60603,19720211,1109227907,Halim-Shahzad@yahoo.Com
HAMMOUNI  FOUAD,25 P,1 S. DEARBORN ST.,Salem,OR,60603,19920216,1783675425,Hammouni-Fouad@yahoo.Com
ADIBOSHI  SUNDAY O,88 B,3351 W. ADDISON ST.,CHICAGO,IL,60618,19910523,1739405402,Adiboshi-Sunday-O@yahoo.Com
CHANG  XINGGUANG,92 C,4626 W. CORNELIA AVE.,Jacksonville,FL,60641,19700515,1833485910,Chang-Xingguang@yahoo.Com
MEHDI  SYED G,39 O,4536 N. ELSTON AVE.,Salem,OR,60630,19670617,179676367,Mehdi-Syed-G@yahoo.Com
ALQUDAH  HAMZAN Y,1 D,2601 W. PETERSON AVE.,Raleigh,NC,60659,19980709,1898854654,Alqudah-Hamzan-Y@yahoo.Com
IRFAN  MOHAMMED,75 Q,3834 N. PACIFIC AVE.,CHICAGO,IL,60634,19780723,1498454948,Irfan-Mohammed@gmail.Com
SYED  SHOEB,18 M,4626 W. CORNELIA AVE.,Jacksonville,FL,60641,19990121,1439188164,Syed-Shoeb@gmail.Com
BENJAMIN  M WLODYKA,58 H,395 W. LAKE ST.,Salem,OR,60126,19790801,1940952552,Benjamin-M-Wlodyka@gmail.Com
DZHALALOV  MUNARBEK A,86 J,2530 W. FITCH AVE.,Indianapolis,IN,60645,19890208,1199769438,Dzhalalov-Munarbek-A@gmail.Com
ZEKKARI  MOUNIR,79 F,6833 S. CLAREMONT AVE.,CHICAGO,IL,60636,19750627,1787608833,Zekkari-Mounir@gmail.Com
MATAZIMOV  KANAT,36 Q,2025 W. GRANVILLE AVE.,CHICAGO,IL,60659,19760317,1707497736,Matazimov-Kanat@gmail.Com
TAFA  MERGA G,47 B,395 W. LAKE ST.,CHICAGO,IL,60126,19841014,1709425886,Tafa-Merga-G@yahoo.Com
DUMITRU  NICOLAE,2 F,4945 N. MULLIGAN AVE.,Indianapolis,IN,60630,19971003,158854742,Dumitru-Nicolae@yahoo.Com
KHAN  QADIR A,7 K,4020 W. GLENLAKE AVE.,CHICAGO,IL,60646,19840201,1242546364,Khan-Qadir-A@gmail.Com
ZEWIDIE  YIHEALEM,2 B,2617 S. WABASH AVE.,CHICAGO,IL,60616,19761108,112934129,Zewidie-Yihealem@gmail.Com
BAIICHE  SAID,,2617 S. WABASH AVE.,Montgomery,AL,60616,19550320,1215759204,Baiiche-Said@gmail.Com
LYAAZALE  ANOUAR,6 F,9696 W. FOSTER AVE.,Bismarck,ND,60656,20000407,1686741414,Lyaazale-Anouar@gmail.Com
GELAW  YOSEPH,1 J,724 W. WASHINGTON BLVD.,Raleigh,NC,60661,19690623,168253212,Gelaw-Yoseph@yahoo.Com
OLAGBAIYE  OLUGBOYEGA B,1 O,9696 W. FOSTER AVE.,CHICAGO,IL,60656,19581114,1426918289,Olagbaiye-Olugboyega-B@yahoo.Com
JONHSON III  CLARENCE,3 R,1836 S. WABASH AVE.,Jacksonville,FL,60616,19630114,1584877297,Jonhson-Iii-Clarence@yahoo.Com
HALL  ALONZO,7 H,2738 W. FULTON ST.,Salem,OR,60612,19620309,1616716868,Hall-Alonzo@yahoo.Com
TAZHIMATOV  ASAN,,903 N. HALSTED ST.,CHICAGO,IL,60642,19570823,1611288379,Tazhimatov-Asan@yahoo.Com
WENDEL  ARNOLD E,4 K,5033 N. WOLCOTT AVE.,CHICAGO,IL,60640,19820105,1412389709,Wendel-Arnold-E@gmail.Com
MAJID  BASIT,10 F,7078 N. WOLCOTT AVE.,Montgomery,AL,60626,19550105,1615228748,Majid-Basit@gmail.Com
KEBEDE  YITAYAL B,10 G,6304 N. CLARK ST.,Montgomery,AL,60660,19700214,185659456,Kebede-Yitayal-B@yahoo.Com
ABDUL RAHMAN  MOHAMMED,3 L,5004 N. CICERO AVE.,Bismarck,ND,60630,19710118,165790922,Abdul-Rahman-Mohammed@yahoo.Com
OSHIBAJO  SEGUN,5 S,4020 W. GLENLAKE AVE.,Raleigh,NC,60646,19641009,112487089,Oshibajo-Segun@gmail.Com
BRESCANU  ALEXANDR,6 B,2617 S. WABASH AVE.,CHICAGO,IL,60616,19790820,1434973644,Brescanu-Alexandr@gmail.Com
NUR  AHMAD ABDEL RAHMAN,3 J,4536 N. ELSTON AVE.,Jacksonville,FL,60630,20040608,1642557198,Nur-Ahmad-Abdel-Rahman@gmail.Com
GEBREYUS  TADASE F,4 G,3700 S. ASHLAND AVE.,Salem,OR,60609,19960526,1228314855,Gebreyus-Tadase-F@gmail.Com
HAMZAT  RAHEEM,10 O,220 N. LAFLIN ST.,Raleigh,NC,60607,19880728,1389551515,Hamzat-Raheem@gmail.Com
AKINOLA  OLUMIDE AKINADE,3 G,500 N. MICHIGAN AVE.,CHICAGO,IL,60611,19990817,1781739,Akinola-Olumide-Akinade@gmail.Com
WARSAME  SAID OSMAN,10 I,4300 W. FORD CITY DR.,Jacksonville,FL,60652,19770121,1495458987,Warsame-Said-Osman@gmail.Com
UDDIN  BELAL,10 K,3700 S. ASHLAND AVE.,Salem,OR,60609,19600411,1146357198,Uddin-Belal@gmail.Com
ISLAM  NURLAN,7 B,2532 W. WARREN BLVD.,Bismarck,ND,60612,19860711,1387208393,Islam-Nurlan@yahoo.Com
TIRIAC  FLORIN A,10 M,3351 W. ADDISON ST.,Raleigh,NC,60618,19960106,1578546892,Tiriac-Florin-A@yahoo.Com
OTCHKOV  ALEXANDRE I,4 Q,11344 S. ADA ST.,CHICAGO,IL,60643,19550306,1926801765,Otchkov-Alexandre-I@yahoo.Com
OUARDI  SAID S,9 N,2617 S. WABASH AVE.,Jacksonville,FL,60616,20000407,1393238803,Ouardi-Said-S@yahoo.Com
SALMA  RABIE,3 B,1410 N. ORLEANS ST.,Salem,OR,60610,19601103,1187759176,Salma-Rabie@yahoo.Com
ODUWOLE  OLUGBENGA,1 N,4020 W. GLENLAKE AVE.,Indianapolis,IN,60646,19690718,192868936,Oduwole-Olugbenga@yahoo.Com
ALI  GHAZANFAR M,,2601 W. PETERSON AVE.,Montgomery,AL,60659,19790324,1505533703,Ali-Ghazanfar-M@yahoo.Com
MOORE  BEN G,3 C,L N. OTTO AVE.,Bismarck,ND,60656,19920118,130881431,Moore-Ben-G@gmail.Com
SHAH  SYED NAVEED A,4 J,2026 W. CARROLL AVE.,Raleigh,NC,60612,19560602,1883468474,Shah-Syed-Naveed-A@gmail.Com
HOCHMAN  BARRY D,3 C,3440 S. COTTAGE GROVE AVE.,CHICAGO,IL,60616,19800222,11888621,Hochman-Barry-D@gmail.Com
BEKELE  BIRANU GUDA,3 H,4400 S. RACINE AVE.,Jacksonville,FL,60609,19840513,1827159107,Bekele-Biranu-Guda@gmail.Com
ABU TALEB  AHMAD H,3 T,395 W. LAKE ST.,Salem,OR,60126,20020718,1602229460,Abu-Taleb-Ahmad-H@gmail.Com
ANWAR  ARSLAN,7 B,120 W. MADISON ST.,Bismarck,ND,60602,20010527,15736145,Anwar-Arslan@gmail.Com
ELKHIDR  MUSAAD M,1 S,5550 N. ELSTON AVE.,Raleigh,NC,60630,19590621,1144468226,Elkhidr-Musaad-M@gmail.Com
MEDIC  ZORAN M,8 L,8111  ST LOUIS AVE.,CHICAGO,IL,60076,20010923,18238444,Medic-Zoran-M@gmail.Com
ADEBIYI  FARIDE A,2 I,6027 S. WENTWORTH AVE.,Jacksonville,FL,60621,20010217,1492847791,Adebiyi-Faride-A@gmail.Com
AZOGAN  SELIDJI T,1 L,4536 N. ELSTON AVE.,Salem,OR,60630,19750514,1167865583,Azogan-Selidji-T@gmail.Com
ONYEGBULA  PRECIOUS,4 F,4118 W. LAWRENCE AVE.,Montgomery,AL,60630,19620619,1930815774,Onyegbula-Precious@gmail.Com
HAQUE  KHAN F,1 F,4848 N. WINTHROP AVE.,Montgomery,AL,60640,19980909,1929695747,Haque-Khan-F@gmail.Com
ADENSO  KOKOU,2 J,5650 W. HOWARD ST.,Bismarck,ND,60077,20020813,1941581715,Adenso-Kokou@gmail.Com
HASSON  MOOZAFER,3 T,22809  MUSTANG RD.,Raleigh,NC,60423,19741008,1932524751,Hasson-Moozafer@gmail.Com
KHAN  SALMAN,6 N,6325 N. SHERIDAN RD.,CHICAGO,IL,60660,19800806,1412290918,Khan-Salman@gmail.Com
ADENEKAN  DAVID,,5550 N. ELSTON AVE.,Jacksonville,FL,60630,19630726,1988714513,Adenekan-David@gmail.Com
ATIEH  ABDALLAH,5 M,3351 W. ADDISON ST.,Salem,OR,60618,19970414,161214596,Atieh-Abdallah@gmail.Com
UBANI  ODINAKACHI M,4 G,6550 N. CLARK AVE.,Jacksonville,FL,60626,19990305,1566663248,Ubani-Odinakachi-M@gmail.Com
VANZANT  LAWRENCE,1 J,4118 W. LAWRENCE AVE.,Salem,OR,60630,19580415,1151550879,Vanzant-Lawrence@gmail.Com
LEKMITI  TOUHAMI,3 B,1111 W. 48TH ST.,CHICAGO,IL,60609,19591102,1506953298,Lekmiti-Touhami@gmail.Com
TELLA  ADEDOYIN M,7 E,8431 W. BERWYN AVE.,CHICAGO,IL,60656,19800222,1529628208,Tella-Adedoyin-M@gmail.Com
BAYLEY  WILLIAM H,1 Q,5550 N. ELSTON AVE.,Montgomery,AL,60630,20010617,1626479192,Bayley-William-H@gmail.Com
MARKOVIC  MARKO,2 H,1 S. DEARBORN ST.,Montgomery,AL,60603,19690421,1746904950,Markovic-Marko@gmail.Com
MIHERETE  TEWODROS B,7 I,659 W. DIVISION ST.,CHICAGO,IL,60610,19890417,1856340242,Miherete-Tewodros-B@gmail.Com
MOOSA  MOHAMMAD A,1 C,1111 W. 48TH ST.,CHICAGO,IL,60609,19790423,1740777805,Moosa-Mohammad-A@gmail.Com
NOCETE  RONALD REY T,8 Q,4645 N. MARIA CT.,CHICAGO,IL,60656,19630710,1353601718,Nocete-Ronald-Rey-T@gmail.Com
GEBREKIDAN  DEMISSIE H,5 Q,4536 N. ELSTON AVE.,CHICAGO,IL,60630,19950421,1431913681,Gebrekidan-Demissie-H@gmail.Com
BANDA  CHARLES,7 Q,4118 W. LAWRENCE AVE.,CHICAGO,IL,60630,19760801,1042953,Banda-Charles@gmail.Com
IJEWERE  GEORGE,6 C,6550 N. CLARK ST.,Montgomery,AL,60626,19760605,1370609648,Ijewere-George@gmail.Com
VILKER  LEO,7 F,2617 S. WABASH AVE.,Bismarck,ND,60616,19630706,148598469,Vilker-Leo@gmail.Com
HATTAB  SALIM,4 B,9696 W. FOSTER AVE.,Raleigh,NC,60656,19690913,1682565728,Hattab-Salim@gmail.Com
MOHAMMED  ETEMAD UL HAQUE,,301 W. 31ST ST.,CHICAGO,IL,60616,19771128,120795832,Mohammed-Etemad-Ul-Haque@gmail.Com
MARCU  RAZVAN H,6 S,2617 S. WABASH AVE.,Jacksonville,FL,60616,19700621,1389401656,Marcu-Razvan-H@gmail.Com
HILA  SEBASTIAN H,6 S,2028 W. CONCORD PL.,Salem,OR,60647,19850321,1572241710,Hila-Sebastian-H@gmail.Com
ILOANOFE  OBICHUKWU C,9 J,4118 W. LAWRENCE AVE.,CHICAGO,IL,60630,19850125,1593675514,Iloanofe-Obichukwu-C@gmail.Com
OGUNBEKUN  ADEWALE O,4 G,5550 N. ELSTON AVE.,CHICAGO,IL,60630,19650418,144939949,Ogunbekun-Adewale-O@gmail.Com
LEVISON  ADAM,8 D,2617 S. WABASH AVE.,Montgomery,AL,60616,19991101,1266354226,Levison-Adam@yahoo.Com
ALDABBAGH  AMJAD A,,4626 W. CORNELIA AVE.,CHICAGO,IL,60641,19660716,1906770505,Aldabbagh-Amjad-A@yahoo.Com
BARAHONA  SERGIO E,7 G,3418 W. CARMEN AVE.,CHICAGO,IL,60625,19750428,1748621144,Barahona-Sergio-E@yahoo.Com
HENDERSON  TYRONE C,2 S,3351 W. ADDISON ST.,CHICAGO,IL,60618,19861024,1101443792,Henderson-Tyrone-C@gmail.Com
HAJI  FAISAL K,3 N,5032 N. DELPHIA AVE.,CHICAGO,IL,60656,19880806,1266126838,Haji-Faisal-K@gmail.Com
BARUTH  RAYMOND A,,5584 W. NORTHWEST HIGHWAY,CHICAGO,IL,60630,19990610,1226386749,Baruth-Raymond-A@gmail.Com
BADRU  GANIYU A,1 K,5550 N. ELSTON AVE.,Montgomery,AL,60630,19720614,187071275,Badru-Ganiyu-A@gmail.Com
ALI  MAHMOUD H,9 Q,2627 N. MILDRED AVE.,CHICAGO,IL,60614,19710729,1663402361,Ali-Mahmoud-H@gmail.Com
LANDA  ROBERTO C,8 L,2601 W. PETERSON AVE.,CHICAGO,IL,60659,19660720,1671862139,Landa-Roberto-C@gmail.Com
WICKRAMANAYAKE   MANGALA,4 E,4400 S. RACINE AVE.,CHICAGO,IL,60609,20041112,1545872897,Wickramanayake--Mangala@yahoo.Com
OSARO  PAUL O,7 Q,6202 W. NORWOOD ST.,Charleston,WV,60646,19731023,1239964661,Osaro-Paul-O@yahoo.Com
MICHAEL  SARGON G,7 M,4536 N. ELSTON AVE.,CHICAGO,IL,60630,20010714,1226350480,Michael-Sargon-G@yahoo.Com
HODZIC  ADMIR,,6340 N. BELL AVE.,CHICAGO,IL,60659,19590325,1520429969,Hodzic-Admir@gmail.Com
KLINE  WARDELL,1 K,5550 N. ELSTON AVE.,CHICAGO,IL,60630,19960323,1718945774,Kline-Wardell@gmail.Com
YU  CHENGDUO,2 D,4118 W. LAWRENCE AVE.,Montgomery,AL,60630,19580907,121791993,Yu-Chengduo@gmail.Com
SHARASHIDZE  OTAR,6 L,3351 W. ADDISON ST.,CHICAGO,IL,60618,19920324,1775240597,Sharashidze-Otar@gmail.Com
FILIPOV  FILIP G,7 I,2617 S. WABASH AVE.,CHICAGO,IL,60616,19690329,1632180593,Filipov-Filip-G@yahoo.Com
WERLING  JOANNE MARIE,5 I,1111 W. 48TH ST.,CHICAGO,IL,60609,19910228,130533362,Werling-Joanne-Marie@yahoo.Com
CADENA  SANDRA P,8 L,3621 W. POLK ST.,Montgomery,AL,60624,19981009,1130949376,Cadena-Sandra-P@yahoo.Com
HILL  BEVERLY J,9 D,5623 N. BERNARD ST.,CHICAGO,IL,60659,19630912,1530884568,Hill-Beverly-J@gmail.Com
JACKSON  SHANISE NICOLE,8 N,3621 W. POLK ST.,Montgomery,AL,60624,19741114,1713868270,Jackson-Shanise-Nicole@gmail.Com
DIMOVA  VINIA K,1 Q,2945 W. PETERSON AVE.,Bismarck,ND,60659,19941019,1744885813,Dimova-Vinia-K@gmail.Com
KEFYALEW  HAYMANOT A,4 O,88 W. SCHILLER ST.,Raleigh,NC,60610,19770324,136985400,Kefyalew-Haymanot-A@gmail.Com
SPATARU  CORNELIA ALEXANDRA,,6166 W. HIGGINS AVE.,Charleston,WV,60630,19770921,175365839,Spataru-Cornelia-Alexandra@gmail.Com
SERGMANN  TRILLIAN M,8 F,4626 W. CORNELIA AVE.,Jacksonville,FL,60641,19990116,1180121847,Sergmann-Trillian-M@gmail.Com
BAIRD  MAGDALENA W,7 E,2532 W. WARREN BLVD.,Salem,OR,60612,19881001,1273198729,Baird-Magdalena-W@gmail.Com
LINAN  EDELIA,4 K,2601 W. PETERSON AVE.,Bismarck,ND,60659,19570523,1101425143,Linan-Edelia@gmail.Com
PEAK  SAVANNAH P,7 B,8111  ST LOUIS AVE.,Raleigh,NC,60076,19851122,1781575472,Peak-Savannah-P@gmail.Com
